target,model_level,feature_group,stress_feature,high_error_threshold_mae,high_error_rows,lower_error_rows,high_error_mean_feature,lower_error_mean_feature,mean_feature_difference,high_error_mean_mae,lower_error_mean_mae,high_error_conditions,lower_error_conditions,dominant_high_error_conditions,claim_scope
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_high_abs_current_time_h,0.1309872843642328,67,199,8.592164179104477,3.1538525963149073,5.43831158278957,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_soc_time_h,0.1309872843642328,67,199,57.363930348258705,62.191499162479055,-4.827568814220349,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_high_charge_time_h,0.10733884633713493,67,199,7.1258706467661685,3.6475293132328304,3.478341333533338,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_high_abs_current_time_h,0.10733884633713493,67,199,7.1258706467661685,3.6475293132328304,3.478341333533338,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_soc_time_h,0.10733884633713493,67,199,62.629726368159204,60.418592964824114,2.21113340333509,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_voltage_high_abs_current_time_h,0.10733884633713493,67,199,4.762810945273631,3.1973618090452254,1.5654491362284055,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_voltage_high_abs_current_time_h,0.1309872843642328,67,199,4.587189054726368,3.256490787269681,1.330698267456687,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_cold_high_abs_current_event_h,0.1309872843642328,67,199,0.16293532338308458,0.04271356783919598,0.12022175554388861,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_cold_high_abs_current_event_h,0.10733884633713493,67,199,0.14701492537313435,0.048073701842546064,0.09894122353058829,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_abs_current_ge_1C_event_h,0.10733884633713493,67,199,0.3309701492537314,0.3504187604690118,-0.01944861121528041,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_abs_current_ge_1C_event_h,0.1309872843642328,67,199,0.33345771144278613,0.34958123953098835,-0.01612352808820222,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_soc_high_abs_current_time_h,0.1309872843642328,67,199,0.0004975124378109452,0.0007118927973199329,-0.0002143803595089877,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,stress_coverage_fraction,0.1309872843642328,67,199,0.998122510752857,0.9979283714492598,0.0001941393035971295,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,stress_coverage_fraction,0.10733884633713493,67,199,0.9981223012628312,0.9979284419810776,0.00019385928175363887,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_soc_high_abs_current_time_h,0.10733884633713493,67,199,0.0006218905472636816,0.0006700167504187605,-4.812620315507892e-05,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
